,"Southern Company Services, Inc. - Trans",ISO New England,"Midcontinent Independent System Operator, Inc.","PJM Interconnection, LLC","Alcoa Power Generating, Inc. - Yadkin Division","Associated Electric Cooperative, Inc.",City of Homestead,City of Tallahassee,Duke Energy Carolinas,"Duke Energy Florida, Inc.",Duke Energy Progress East,Duke Energy Progress West,"Electric Energy, Inc.",Florida Municipal Power Pool,Florida Power & Light Co.,Gainesville Regional Utilities,"Gridforce Energy Management, LLC",JEA,Louisville Gas and Electric Company and Kentucky Utilities Company,Utilities Commission of New Smyrna Beach,New York Independent System Operator,NorthWestern Corporation,Ohio Valley Electric Corporation,PowerSouth Energy Cooperative,Public Service Company of New Mexico,Seminole Electric Cooperative,"Dominion Energy South Carolina, Inc.",South Carolina Public Service Authority,Southeastern Power Administration,Southwest Power Pool,Southwestern Power Administration,Tampa Electric Company,Tennessee Valley Authority,Western Area Power Administration - Rocky Mountain Region,Western Area Power Administration - Upper Great Plains West,New Brunswick System Operator,"Electric Reliability Council of Texas, Inc."
10,2.71,4.814060842920386,2.7900291809684243,2.3965700056162667,2.8928255532961833,2.8956343951488206,2.98823810548749,2.8401004447181393,2.8766740898849985,2.911428521369019,2.942026357003251,2.858734249776796,2.888999339801747,2.9478318223360516,2.954093024782513,2.9003889978754587,2.987649723374995,2.850882527433787,2.8622751637699837,2.934442942440337,3.5572328275185496,3.0615778523956965,2.76172939646968,2.7834163733196418,3.0050586616964208,2.9090864989202476,2.8986212926597266,2.911459738926337,2.802984197501457,2.948083445360976,2.8970020293420915,2.934671991012827,2.861126641339312,3.00964701351357,3.0540046649996193,4.059237604691118,2.9676006536241415
11,2.89,5.334305866253916,2.97436924469117,2.666769885044728,3.159687838460613,3.1247175598856103,3.24530819712662,3.060901166903829,3.1360287881281352,3.1517463877452077,3.2138631838741993,3.112903172939311,3.129921916616218,3.196961526935291,3.2043533941935722,3.1385092833554644,3.23935228031376,3.0751628360308585,3.116122723881628,3.1812590245636634,3.916525898464167,3.3271532458900177,3.0314554335755366,2.986987885446124,3.2603224289373762,3.1488570228328454,3.1479656153638143,3.1668526406619213,3.0127477026520086,3.187949829221039,3.134321395115559,3.1801906733656287,3.0964569657380387,3.2644085243331697,3.3178633272537383,4.478246314369754,3.2165668892347825
12,2.82,5.1319883571797655,2.902681442132324,2.5616921541558813,3.0559080608966673,3.0356296624879695,3.145336494822513,2.9750342193871715,3.035168627700248,3.0582894397100224,3.108148862313275,3.014059702820555,3.03622980341059,3.1000777529244754,3.107029917200382,3.045906950113239,3.1414679526153506,2.9879427160208856,3.0174042282826545,3.085274992626814,3.7768008153186488,3.223873926197781,2.9265619747010367,2.907821186285825,3.161053186121449,3.0556129302001684,3.0509983787566686,3.06753317887586,2.9311730062045713,3.0946684577199033,3.0420305306480984,3.0847111857839833,3.0049396173607557,3.1653346034588803,3.2152516252660246,4.315298482828062,3.1197466864973107
13,2.82,5.1319883571797655,2.902681442132324,2.5616921541558813,3.0559080608966673,3.0356296624879695,3.145336494822513,2.9750342193871715,3.035168627700248,3.0582894397100224,3.108148862313275,3.014059702820555,3.03622980341059,3.1000777529244754,3.107029917200382,3.045906950113239,3.1414679526153506,2.9879427160208856,3.0174042282826545,3.085274992626814,3.7768008153186488,3.223873926197781,2.9265619747010367,2.907821186285825,3.161053186121449,3.0556129302001684,3.0509983787566686,3.06753317887586,2.9311730062045713,3.0946684577199033,3.0420305306480984,3.0847111857839833,3.0049396173607557,3.1653346034588803,3.2152516252660246,4.315298482828062,3.1197466864973107
14,2.86,5.247598362364994,2.9436459007373785,2.6217365718066508,3.115210790933208,3.086537032429478,3.2024631818534317,3.024101046539547,3.092803005087612,3.1116934100158424,3.168557046062374,3.0705416857455585,3.0897681538138055,3.1554399095020838,3.162643332625062,3.0988225691087967,3.1974018541572984,3.0377827845980128,3.0738147971963534,3.140123010876442,3.856643719973231,3.2828906803076303,2.9865010940578935,2.9530593000917102,3.21777846773055,3.1088952688474123,3.1064082282464662,3.1242871570393236,2.97778711846025,3.1479720985776947,3.094768167486647,3.139270892973495,3.057235245004917,3.2219482725299025,3.2738868835447184,4.408411529423313,3.1750725166330094
15,2.8075,5.095860230559382,2.889880048818245,2.5429282736400167,3.0373759577602497,3.0197211093812486,3.127484405125352,2.9597008359020545,3.0171578847666973,3.0416006989894546,3.0892713048916813,2.9964090831564922,3.0194990689095857,3.082777078993973,3.08965072488017,3.0293708191771285,3.1239886083834922,2.9723676945905337,2.999775925497125,3.0681349869238055,3.751849907614093,3.2054311905384534,2.9078309999020195,2.8936842757214865,3.143326535618605,3.038962199372905,3.0336828007911074,3.0497975606997785,2.9166060961246725,3.0780110699518435,3.0255500191360527,3.067661277287262,2.988597233721956,3.1476428318741867,3.1969281070539335,4.286200655767046,3.102457364579905
16,2.755,4.944122098753769,2.8361141968991106,2.464119975473382,2.959541124587291,2.9529051863330182,3.052505628397272,2.8953006252645617,2.9415127644457826,2.971507987963066,3.009985563720988,2.9222764805674246,2.9492299840053646,3.010114248485861,3.0166581171352775,2.95991906924546,3.0505753626096856,2.9069526045830543,2.9257370537978944,2.996146962971169,3.647056095254954,3.1279717007692764,2.8291609057461438,2.834309251351262,3.06887460350666,2.969029129898397,2.9609573733357486,2.9753079643602325,2.8554250737890947,3.0080500413259914,2.956331870785458,2.9960516616010278,2.919959222438993,3.0733373912184696,3.1199693305631486,4.163989782110776,3.029842212526802
17,2.7025,4.792383966948155,2.7823483449799764,2.385311677306747,2.881706291414332,2.886089263284788,2.9775268516691926,2.8309004146270684,2.8658676441248674,2.901415276936678,2.9306998225502947,2.8481438779783574,2.8789608991011435,2.93745141797775,2.943665509390385,2.8904673193137915,2.977162116835879,2.8415375145755757,2.851698182098665,2.9241589390185316,3.5422622828958152,3.0505122110000995,2.750490811590269,2.7749342269810384,2.994422671394714,2.899096060423889,2.8882319458803893,2.900818368020687,2.794244051453517,2.9380890127001393,2.8871137224348633,2.9244420459147937,2.8513212111560313,2.9990319505627525,3.043010554072364,4.041778908454508,2.9572270604736977
18,2.65,4.640645835142544,2.7285824930608427,2.306503379140113,2.8038714582413737,2.8192733402365575,2.902548074941113,2.766500203989576,2.790222523803952,2.8313225659102894,2.8514140813796023,2.7740112753892907,2.8086918141969237,2.864788587469639,2.8706729016454933,2.8210155693821237,2.9037488710620725,2.776122424568096,2.777659310399436,2.852170915065895,3.437468470536677,2.973052721230923,2.6718207174343944,2.7155592026108146,2.91997073928277,2.8291629909493814,2.815506518425031,2.826328771681142,2.7330630291179396,2.868127984074288,2.817895574084269,2.8528324302285597,2.7826831998730697,2.9247265099070363,2.9660517775815793,3.91956803479824,2.8846119084205943
19,2.57,4.409425824772086,2.646653575850734,2.1864145438385743,2.6852659981682936,2.717458600353541,2.7882947008792773,2.668366549684825,2.6749537690292247,2.7245146252986503,2.7305977138814033,2.661047309539284,2.701615113390492,2.7540642743144215,2.759446070796134,2.71518433139101,2.7918810679781774,2.6764422874138427,2.664838172572039,2.7424748785666386,3.277782661227514,2.855019213011224,2.5519424787206804,2.625082974999044,2.8065201760645677,2.7225983136548937,2.7046868194454365,2.712820815354215,2.6398348046065836,2.761520702358704,2.7124203004071723,2.7437130158495373,2.678091944584746,2.8114991717649924,2.848781261024193,3.7333419416077347,2.773960248149198
