,Type
333,DFO (Distillate Fuel Oil)
334,NG (Natural Gas)
335,WND (Wind)
336,NG (Natural Gas)
337,NG (Natural Gas)
338,NG (Natural Gas)
339,NUC (Nuclear)
340,DFO (Distillate Fuel Oil)
341,DFO (Distillate Fuel Oil)
342,DFO (Distillate Fuel Oil)
343,DFO (Distillate Fuel Oil)
344,DFO (Distillate Fuel Oil)
345,NG (Natural Gas)
346,NG (Natural Gas)
347,DFO (Distillate Fuel Oil)
348,DFO (Distillate Fuel Oil)
349,NG (Natural Gas)
350,BIT (Bituminous Coal)
351,NG (Natural Gas)
352,BIT (Bituminous Coal)
353,DFO (Distillate Fuel Oil)
354,DFO (Distillate Fuel Oil)
355,NUC (Nuclear)
356,DFO (Distillate Fuel Oil)
357,NG (Natural Gas)
358,DFO (Distillate Fuel Oil)
359,WND (Wind)
360,DFO (Distillate Fuel Oil)
361,DFO (Distillate Fuel Oil)
362,SUN (Solar)
363,WND (Wind)
364,DFO (Distillate Fuel Oil)
365,NG (Natural Gas)
366,WAT (Water)
367,WAT (Water)
368,WAT (Water)
369,NUC (Nuclear)
370,NG (Natural Gas)
371,WAT (Water)
372,WAT (Water)
373,WAT (Water)
374,BIT (Bituminous Coal)
375,NG (Natural Gas)
376,NG (Natural Gas)
377,NG (Natural Gas)
378,NG (Natural Gas)
379,NG (Natural Gas)
380,BIT (Bituminous Coal)
381,NG (Natural Gas)
382,NG (Natural Gas)
383,NG (Natural Gas)
384,NG (Natural Gas)
385,NG (Natural Gas)
386,WND (Wind)
387,NUC (Nuclear)
388,NG (Natural Gas)
389,BIT (Bituminous Coal)
390,NG (Natural Gas)
391,NG (Natural Gas)
392,NG (Natural Gas)
393,NG (Natural Gas)
394,NG (Natural Gas)
395,DFO (Distillate Fuel Oil)
396,NG (Natural Gas)
397,DFO (Distillate Fuel Oil)
398,NG (Natural Gas)
399,NG (Natural Gas)
400,WND (Wind)
401,NG (Natural Gas)
402,NG (Natural Gas)
403,BIT (Bituminous Coal)
404,WND (Wind)
405,NG (Natural Gas)
406,NG (Natural Gas)
407,WAT (Water)
408,NG (Natural Gas)
409,NG (Natural Gas)
410,WND (Wind)
411,NG (Natural Gas)
412,NG (Natural Gas)
413,WAT (Water)
414,NUC (Nuclear)
415,WND (Wind)
416,NG (Natural Gas)
417,WND (Wind)
418,NG (Natural Gas)
419,NUC (Nuclear)
420,WND (Wind)
421,WND (Wind)
