Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Gas_50_100,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Nuclear_800_1000,Nuclear_ovr_1000,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_600_800,Gas_800_1000,Gas_ovr_1000,Nuclear_below_50,Nuclear_50_100,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_600_800,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200
7311,7174.3141535490595,7405.63492077,7376.04951206733,20807.9644651134,2204.75776048935,23381.4298660776,23846.1833046765,32.654545259399995,1249.36,1968.238488411,12242.6739043719,64.8624561373,12989.976969646388,26696.9175085752,193.7695114413,4905.092175108,7532.433165872399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7312,7174.3141535490595,7414.30326266,7376.04951206733,20448.1270883448,2204.75776048935,23381.4298660776,24047.7238772355,32.654545259399995,1249.36,1968.238488411,11996.843196888001,64.8624561373,12989.976969646388,26696.9175085752,191.5842696624,4905.092175108,7532.433165872399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7313,7174.3141535490595,7280.57407309,7376.04951206733,19962.2770883448,2204.75776048935,23381.4298660776,23853.2116423074,32.654545259399995,1249.36,1968.238488411,11925.893196888,60.76245613729999,12989.976969646388,26391.0375085752,186.1842696624,4720.9349807274,7532.433165872399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7314,7174.3141535490595,7045.9509574,7376.04951206733,19962.2770883448,2204.75776048935,22713.5298660776,23853.2116423074,32.654545259399995,1249.36,1968.238488411,11571.143196888,60.76245613729999,12989.976969646388,26842.01958470268,188.88426966240002,4720.9349807274,7532.433165872399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7315,7125.055158011839,7041.9057311999995,7376.04951206733,19905.1182652155,2204.75776048935,22713.5298660776,24245.2999629057,32.654545259399995,1249.36,1968.238488411,11216.393196888,64.8624561373,12989.976969646388,26770.04781988884,188.88426966240002,4720.9349807274,7596.363099945049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7316,6968.88515801184,7029.1279533199995,7376.04951206733,20048.7139320981,2167.50901048935,22758.0565329669,24245.2999629057,32.654545259399995,1093.1899999999998,1968.238488411,11216.393196888,68.9624561373,12989.976969646388,26770.04781988884,188.88426966240002,4720.9349807274,7596.363099945049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7317,6968.88515801184,7029.1279533199995,7376.04951206733,19575.370961676002,2167.50901048935,22758.0565329669,24245.2999629057,32.654545259399995,1093.1899999999998,1968.238488411,11216.393196888,68.9624561373,12833.806969646388,27220.31981394912,186.1842696624,4720.9349807274,7596.363099945049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7318,6968.88515801184,7203.61071202,7376.04951206733,19555.05066778995,2167.50901048935,22045.6298660776,23750.9951895066,32.654545259399995,1093.1899999999998,2274.118488411,11145.443196888,68.9624561373,12833.80696964639,27220.31981394912,180.78426966240002,4720.9349807274,7767.875348109599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7319,7125.055158011839,7203.61071202,7376.04951206733,19553.10726778995,2238.45901048935,22045.6298660776,23750.9951895066,32.654545259399995,1093.1899999999998,2274.118488411,11574.138863538901,60.76245613729999,13302.316969646388,27648.446880897478,178.0842696624,4720.9349807274,7767.875348109599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7320,7125.055158011839,7259.1279533199995,8223.36808355985,20458.690717922702,2238.45901048935,22749.4505386103,24942.102370604698,32.654545259399995,1093.1899999999998,2274.118488411,11928.888863538901,60.76245613729999,14849.260749170258,30890.12453658252,183.4842696624,4720.9349807274,7703.945414036949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
